Date,Name,Country,BusinessType,BusinessSubType,BreachType,DataType,DataType2,InsideOutside,ThirdParty,ThirdPartyName,TotalAffected,RefPage,UID,XREF1,StockSymbol,DataRecovered,ConsumerLawsuit,ArrestProsecution
10/25/2007,University of Akron,US,Edu,Uni,Lost Media,SSN,NAA,Outside,No,,1200,http://attrition.org/dataloss/2007/10/akron01.html,DL-0810,,No,No,No,No
10/28/2007,Art.com,US,Biz,Retail,Hack,CCN,?,Outside,No,,?,http://attrition.org/dataloss/2007/10/art01.html,DL-0811,,No,No,No,No
10/29/2007,United States Postal Service,US,Gov,Fed,Stolen Laptop,SSN,NAA,Outside,No,,3000,http://attrition.org/dataloss/2007/10/usps01.html,DL-0812,,No,No,No,No
10/30/2007,University of Nevada Reno,US,Edu,Uni,Lost Drive,SSN,NAA,Outside,No,,16000,http://attrition.org/dataloss/2007/10/unr01.html,DL-0813,,No,No,No,No
10/30/2007,Hartford Financial Services Group,US,Biz,Fin,Lost Tapes,?,?,Inside - Accidental,No,,237000,http://attrition.org/dataloss/2007/10/hartford01.html,DL-0814,,HIG,No,No,No
10/30/2007,Pathology Group of the Mid-South,US,Med,Hos,Stolen Computers,SSN,NAA,Outside,No,,75000,http://attrition.org/dataloss/2007/10/pgms01.html,DL-0829,,No,No,No,No
11/1/2007,City University of New York,US,Edu,Uni,Stolen Laptop,SSN,?,Outside,No,,20000,http://attrition.org/dataloss/2007/11/cuny01.html,DL-0815,,No,No,No,No
11/5/2007,HM Revenue and Customs,GB,Gov,Fed,Lost Media,SSN,NAA,Outside,Yes,?,15000,http://attrition.org/dataloss/2007/11/hmrc01.html,DL-0816,,No,No,No,No
11/6/2007,Alabama Department of Public Health,US,Gov,State,Snail Mail,SSN,NAA,Outside,No,,1554,http://attrition.org/dataloss/2007/11/adph01.html,DL-0817,,No,No,No,No
11/6/2007,Montana State University,US,Edu,Uni,Stolen Media,SSN,NAA,Outside,No,,271,http://attrition.org/dataloss/2007/11/msu01.html,DL-0818,,No,No,No,No
11/6/2007,Butte Community Bank,US,Biz,Fin,Stolen Laptop,SSN,FIN,Outside,No,,?,http://attrition.org/dataloss/2007/11/bcb01.html,DL-0819,,No,No,No,No
11/7/2007,Carolinas Medical Center - NorthEast,US,Med,Hos,Lost Laptop,SSN,NAA,Outside,No,,28000,http://attrition.org/dataloss/2007/11/cmcne01.html,DL-0820,,No,No,No,No
11/11/2007,State of Nevada,US,Gov,State,Lost Media,SSN,?,Outside,Yes,?,?,http://attrition.org/dataloss/2007/11/nevada01.html,DL-0850,,No,No,No,No
11/13/2007,The Foreign and Commonwealth Office,GB,Gov,Fed,Web,?,?,Outside,No,,50000,http://attrition.org/dataloss/2007/11/fco01.html,DL-0821,,No,No,No,No
11/13/2007,Commerce Bancorp,US,Biz,Fin,?,SSN,NAA,Inside,No,,?,http://attrition.org/dataloss/2007/11/commerce01.html,DL-0822,,CBH,No,No,No
11/13/2007,Glenrose Rehabilitation Hospital,CA,Med,Hos,Stolen Media,MED,NAA,Outside,No,,270,http://attrition.org/dataloss/2007/11/grh01.html,DL-0826,,No,No,No,No
11/15/2007,Roudebush VA Medical Center,US,Med,Hos,Stolen Computers,SSN,NAA,Outside,No,,12000,http://attrition.org/dataloss/2007/11/roudebush01.html,DL-0823,,No,No,No,Yes
11/16/2007,A.J. Falciani Realty Company,US,Biz,Fin,Stolen Computers,SSN,NAA,Outside,No,,500,http://attrition.org/dataloss/2007/11/falciani01.html,DL-0824,,No,No,No,No
11/16/2007,Kansas State University,US,Edu,Uni,Web,SSN,?,Outside,No,,128,http://attrition.org/dataloss/2007/11/ksu01.html,DL-0825,,No,No,No,No
11/16/2007,Service Canada,CA,Gov,Fed,Stolen Laptop,SSN,FIN,Outside,No,,1600,http://attrition.org/dataloss/2007/11/service01.html,DL-0827,,No,No,No,No
11/16/2007,U.S. Department of Veterans Affairs,US,Gov,Fed,Fraud - SE,SSN,?,Inside - Malicious,No,,1800000,http://attrition.org/dataloss/2007/11/usdva01.html,DL-0830,,No,Yes,No,Yes
11/17/2007,Ohio Masonic Home / Community Blood Bank,US,Biz,NFP,Stolen Laptop,FIN,?,Outside,Yes,Battelle & Battelle LLC,1200,http://attrition.org/dataloss/2007/11/omh01.html,DL-0828,,No,No,No,No
11/20/2007,HM Revenue and Customs,GB,Gov,Fed,Lost Media,SSN,NAA,Outside,Yes,TNT,25000000,http://attrition.org/dataloss/2007/11/hmrc02.html,DL-0831,,No,No,No,No
11/21/2007,University of Florida,US,Edu,Uni,Web,SSN,NAA,Outside,No,,415,http://attrition.org/dataloss/2007/11/uf01.html,DL-0832,,No,No,No,No
11/23/2007,Allied Irish Bank,IE,Biz,Fin,Snail Mail,ACC,NAA,Outside,No,,15000,http://attrition.org/dataloss/2007/11/aib01.html,DL-0833,,No,No,No,No
11/26/2007,Provincial Public Health Laboratory,CA,Med,Gov,Hack,MED,NAA,Outside,No,,?,http://attrition.org/dataloss/2007/11/pphl01.html,DL-0834,,No,No,No,No
11/27/2007,Telsell,NL,Biz,Tech,Hack,CCN,?,Outside,No,,30000,http://attrition.org/dataloss/2007/11/telsell01.html,DL-0845,,No,No,No,No
11/30/2007,Prescription Advantage,US,Gov,State,Fraud - SE,?,?,?,No,,150000,http://attrition.org/dataloss/2007/11/scrip01.html,DL-0835,,No,No,No,Yes
12/4/2007,Passport Canada,CA,Gov,Fed,Web,NAA,DOB,Outside,No,,?,http://attrition.org/dataloss/2007/12/passport01.html,DL-0836,,No,No,No,No
12/4/2007,Indianapolis Power and Light,US,Biz,Ind,Web,SSN,NAA,Outside,No,,3000,http://attrition.org/dataloss/2007/12/ipl01.html,DL-0837,,No,No,No,No
12/4/2007,Duke University,US,Edu,Uni,Hack,SSN,?,Outside,No,,1400,http://attrition.org/dataloss/2007/12/duke01.html,DL-0838,,No,No,No,No
12/5/2007,Memorial Blood Centers,US,Med,NFP,Stolen Laptop,SSN,NAA,Outside,No,,268000,http://attrition.org/dataloss/2007/12/mbc01.html,DL-0839,,No,No,No,No
